Hourly measurement data supplied by UK-air on 10/07/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Devonshire Green",,,,,,,,,
Latitude,,53.378622,,,,,,,,,,
Longitude,,-1.478096,,,,,,,,,,
Site Type,,Urban Background,,,,,,,,,,
Zone,,Yorkshire & Humberside,,,,,,,,,,
Agglomeration,,Sheffield Urban Area,,,,,,,,,,
Local Authority,,"Sheffield",,,,,,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2022-02-01,01:00:00,7.8221,V ugm-3,4.882,V ugm-3 (Ref.eq),279,N deg,7.6,N ms-1,6.7,N degC
2022-02-01,02:00:00,6.1039,V ugm-3,1.509,V ugm-3 (Ref.eq),281.2,N deg,7.9,N ms-1,7,N degC
2022-02-01,03:00:00,6.67162,V ugm-3,1.108,V ugm-3 (Ref.eq),289.3,N deg,8.2,N ms-1,7.6,N degC
2022-02-01,04:00:00,3.43037,V ugm-3,1.038,V ugm-3 (Ref.eq),298.6,N deg,8.8,N ms-1,8.4,N degC
2022-02-01,05:00:00,2.57193,V ugm-3,0.566,V ugm-3 (Ref.eq),304.1,N deg,10.1,N ms-1,8.7,N degC
2022-02-01,06:00:00,3.14408,V ugm-3,0.708,V ugm-3 (Ref.eq),306.8,N deg,11,N ms-1,9,N degC
2022-02-01,07:00:00,5.38099,V ugm-3,0.377,V ugm-3 (Ref.eq),309.2,N deg,11.1,N ms-1,9.1,N degC
2022-02-01,08:00:00,8.90415,V ugm-3,0.377,V ugm-3 (Ref.eq),310.2,N deg,11.1,N ms-1,8.9,N degC
2022-02-01,09:00:00,7.90744,V ugm-3,1.84,V ugm-3 (Ref.eq),311,N deg,11.1,N ms-1,8.7,N degC
2022-02-01,10:00:00,8.28836,V ugm-3,2.476,V ugm-3 (Ref.eq),312.1,N deg,11.2,N ms-1,8.7,N degC
2022-02-01,11:00:00,8.00377,V ugm-3,3.113,V ugm-3 (Ref.eq),311.4,N deg,11.5,N ms-1,8.9,N degC
2022-02-01,12:00:00,7.57639,V ugm-3,3.491,V ugm-3 (Ref.eq),311.8,N deg,11.6,N ms-1,9,N degC
2022-02-01,13:00:00,6.4335,V ugm-3,3.915,V ugm-3 (Ref.eq),312.6,N deg,11.4,N ms-1,8.8,N degC
2022-02-01,14:00:00,6.19763,V ugm-3,4.552,V ugm-3 (Ref.eq),312.2,N deg,11.3,N ms-1,8.7,N degC
2022-02-01,15:00:00,7.00339,V ugm-3,5.849,V ugm-3 (Ref.eq),311.5,N deg,10.9,N ms-1,8.4,N degC
2022-02-01,16:00:00,6.66922,V ugm-3,6.627,V ugm-3 (Ref.eq),309.9,N deg,10,N ms-1,7.9,N degC
2022-02-01,17:00:00,8.33497,V ugm-3,6.91,V ugm-3 (Ref.eq),309.8,N deg,8.9,N ms-1,7.5,N degC
2022-02-01,18:00:00,9.42927,V ugm-3,7.783,V ugm-3 (Ref.eq),308.6,N deg,8.5,N ms-1,7.3,N degC
2022-02-01,19:00:00,9.2386,V ugm-3,8.231,V ugm-3 (Ref.eq),307,N deg,7.4,N ms-1,7.2,N degC
2022-02-01,20:00:00,6.52586,V ugm-3,7.783,V ugm-3 (Ref.eq),304.8,N deg,6.9,N ms-1,7.1,N degC
2022-02-01,21:00:00,5.47831,V ugm-3,9.316,V ugm-3 (Ref.eq),303.6,N deg,6.5,N ms-1,7,N degC
2022-02-01,22:00:00,6.81144,V ugm-3,7.382,V ugm-3 (Ref.eq),299.3,N deg,5.8,N ms-1,6.9,N degC
2022-02-01,23:00:00,4.43033,V ugm-3,5.071,V ugm-3 (Ref.eq),289,N deg,4.7,N ms-1,6.7,N degC
2022-02-01,24:00:00,4.4316,V ugm-3,2.854,V ugm-3 (Ref.eq),286.9,N deg,5.2,N ms-1,7.6,N degC
2022-02-02,01:00:00,4.69997,V ugm-3,1.061,V ugm-3 (Ref.eq),294.2,N deg,5.9,N ms-1,9.1,N degC
2022-02-02,02:00:00,7.36709,V ugm-3,0.778,V ugm-3 (Ref.eq),299.1,N deg,5.3,N ms-1,9.2,N degC
2022-02-02,03:00:00,4.3827,V ugm-3,1.439,V ugm-3 (Ref.eq),300.2,N deg,5.6,N ms-1,9.5,N degC
2022-02-02,04:00:00,3.38247,V ugm-3,1.769,V ugm-3 (Ref.eq),297.9,N deg,5.4,N ms-1,9.5,N degC
2022-02-02,05:00:00,3.09647,V ugm-3,0.943,V ugm-3 (Ref.eq),293.3,N deg,5.7,N ms-1,9.4,N degC
2022-02-02,06:00:00,3.61949,V ugm-3,1.203,V ugm-3 (Ref.eq),296.5,N deg,6.1,N ms-1,9.3,N degC
2022-02-02,07:00:00,5.42902,V ugm-3,1.061,V ugm-3 (Ref.eq),298.1,N deg,6.4,N ms-1,9.1,N degC
2022-02-02,08:00:00,8.38242,V ugm-3,1.392,V ugm-3 (Ref.eq),298.9,N deg,6.4,N ms-1,9,N degC
2022-02-02,09:00:00,10.14795,V ugm-3,1.321,V ugm-3 (Ref.eq),298.1,N deg,6.4,N ms-1,8.7,N degC
2022-02-02,10:00:00,11.05175,V ugm-3,2.547,V ugm-3 (Ref.eq),297.6,N deg,6.5,N ms-1,8.8,N degC
2022-02-02,11:00:00,13.91119,V ugm-3,1.816,V ugm-3 (Ref.eq),300.9,N deg,6.8,N ms-1,9,N degC
2022-02-02,12:00:00,16.62342,V ugm-3,3.892,V ugm-3 (Ref.eq),300.2,N deg,6.3,N ms-1,8.9,N degC
2022-02-02,13:00:00,17.33683,V ugm-3,3.75,V ugm-3 (Ref.eq),296,N deg,5.5,N ms-1,8.7,N degC
2022-02-02,14:00:00,19.00578,V ugm-3,5.024,V ugm-3 (Ref.eq),287.7,N deg,4.9,N ms-1,8.6,N degC
2022-02-02,15:00:00,18.76406,V ugm-3,6.91,V ugm-3 (Ref.eq),290,N deg,5.2,N ms-1,8.4,N degC
2022-02-02,16:00:00,19.1923,V ugm-3,7.382,V ugm-3 (Ref.eq),275.5,N deg,4.5,N ms-1,8.2,N degC
2022-02-02,17:00:00,26.14652,V ugm-3,6.863,V ugm-3 (Ref.eq),276,N deg,3.6,N ms-1,7.6,N degC
2022-02-02,18:00:00,26.95996,V ugm-3,7.783,V ugm-3 (Ref.eq),277.7,N deg,4.2,N ms-1,7.5,N degC
2022-02-02,19:00:00,23.90957,V ugm-3,9.292,V ugm-3 (Ref.eq),272.3,N deg,4.7,N ms-1,7.5,N degC
2022-02-02,20:00:00,24.25064,V ugm-3,9.127,V ugm-3 (Ref.eq),273.4,N deg,5.3,N ms-1,7.2,N degC
2022-02-02,21:00:00,17.66697,V ugm-3,13.561,V ugm-3 (Ref.eq),273.9,N deg,5.3,N ms-1,6.8,N degC
2022-02-02,22:00:00,16.05184,V ugm-3,17.547,V ugm-3 (Ref.eq),270.7,N deg,5,N ms-1,6.6,N degC
2022-02-02,23:00:00,13.33712,V ugm-3,7.854,V ugm-3 (Ref.eq),257.8,N deg,4.2,N ms-1,6.7,N degC
2022-02-02,24:00:00,12.76692,V ugm-3,6.226,V ugm-3 (Ref.eq),265.2,N deg,5.3,N ms-1,6.6,N degC
2022-02-03,01:00:00,6.73531,V ugm-3,6.061,V ugm-3 (Ref.eq),244.4,N deg,3.4,N ms-1,6.4,N degC
2022-02-03,02:00:00,11.04926,V ugm-3,7.712,V ugm-3 (Ref.eq),244.1,N deg,3.3,N ms-1,6.3,N degC
2022-02-03,03:00:00,7.19286,V ugm-3,6.085,V ugm-3 (Ref.eq),244.4,N deg,3.2,N ms-1,5.6,N degC
2022-02-03,04:00:00,6.95757,V ugm-3,5.472,V ugm-3 (Ref.eq),245.3,N deg,3.3,N ms-1,5.1,N degC
2022-02-03,05:00:00,4.57199,V ugm-3,4.41,V ugm-3 (Ref.eq),253.2,N deg,3.1,N ms-1,5,N degC
2022-02-03,06:00:00,4.47679,V ugm-3,3.797,V ugm-3 (Ref.eq),251.7,N deg,3.3,N ms-1,6.3,N degC
2022-02-03,07:00:00,8.23758,V ugm-3,3.396,V ugm-3 (Ref.eq),249,N deg,3.4,N ms-1,6.8,N degC
2022-02-03,08:00:00,13.76275,V ugm-3,4.434,V ugm-3 (Ref.eq),251.1,N deg,4.7,N ms-1,6.4,N degC
2022-02-03,09:00:00,22.48281,V ugm-3,4.976,V ugm-3 (Ref.eq),260.9,N deg,5.8,N ms-1,7,N degC
2022-02-03,10:00:00,20.4845,V ugm-3,3.42,V ugm-3 (Ref.eq),267.7,N deg,6.4,N ms-1,8.3,N degC
2022-02-03,11:00:00,9.86011,V ugm-3,2.901,V ugm-3 (Ref.eq),265.3,N deg,5.7,N ms-1,8.7,N degC
2022-02-03,12:00:00,11.24424,V ugm-3,4.127,V ugm-3 (Ref.eq),267.3,N deg,5,N ms-1,8.2,N degC
2022-02-03,13:00:00,18.53108,V ugm-3,4.481,V ugm-3 (Ref.eq),261,N deg,4.8,N ms-1,7.7,N degC
2022-02-03,14:00:00,20.15374,V ugm-3,3.656,V ugm-3 (Ref.eq),259.1,N deg,3.8,N ms-1,8.1,N degC
2022-02-03,15:00:00,16.20067,V ugm-3,3.703,V ugm-3 (Ref.eq),246.1,N deg,3.2,N ms-1,8.2,N degC
2022-02-03,16:00:00,13.91163,V ugm-3,3.302,V ugm-3 (Ref.eq),252.2,N deg,4,N ms-1,7.4,N degC
2022-02-03,17:00:00,12.6254,V ugm-3,3.042,V ugm-3 (Ref.eq),256.2,N deg,5.1,N ms-1,6.7,N degC
2022-02-03,18:00:00,13.57533,V ugm-3,3.184,V ugm-3 (Ref.eq),259,N deg,6.6,N ms-1,6.9,N degC
2022-02-03,19:00:00,14.14665,V ugm-3,3.797,V ugm-3 (Ref.eq),254.7,N deg,7.7,N ms-1,7.3,N degC
2022-02-03,20:00:00,17.19658,V ugm-3,4.623,V ugm-3 (Ref.eq),242.5,N deg,6.3,N ms-1,7.3,N degC
2022-02-03,21:00:00,13.90987,V ugm-3,4.741,V ugm-3 (Ref.eq),228.2,N deg,6.1,N ms-1,7.6,N degC
2022-02-03,22:00:00,7.7182,V ugm-3,4.859,V ugm-3 (Ref.eq),230.4,N deg,7.1,N ms-1,8.4,N degC
2022-02-03,23:00:00,5.05121,V ugm-3,3.986,V ugm-3 (Ref.eq),236,N deg,7.2,N ms-1,8,N degC
2022-02-03,24:00:00,4.38484,V ugm-3,5.189,V ugm-3 (Ref.eq),251.9,N deg,8.3,N ms-1,8.5,N degC
2022-02-04,01:00:00,3.11577,V ugm-3,5.92,V ugm-3 (Ref.eq),271.5,N deg,5.9,N ms-1,8.5,N degC
2022-02-04,02:00:00,4.8898,V ugm-3,3.443,V ugm-3 (Ref.eq),312.2,N deg,4.7,N ms-1,6.9,N degC
2022-02-04,03:00:00,4.5712,V ugm-3,0.613,V ugm-3 (Ref.eq),319.3,N deg,4.4,N ms-1,5.4,N degC
2022-02-04,04:00:00,2.61912,V ugm-3,1.462,V ugm-3 (Ref.eq),315.4,N deg,3.9,N ms-1,4.4,N degC
2022-02-04,05:00:00,5.04719,V ugm-3,1.061,V ugm-3 (Ref.eq),317.1,N deg,3.8,N ms-1,4.2,N degC
2022-02-04,06:00:00,3.76268,V ugm-3,0.849,V ugm-3 (Ref.eq),319.6,N deg,4,N ms-1,4.3,N degC
2022-02-04,07:00:00,6.90354,V ugm-3,1.085,V ugm-3 (Ref.eq),308.7,N deg,3.3,N ms-1,4.2,N degC
2022-02-04,08:00:00,11.61779,V ugm-3,3.703,V ugm-3 (Ref.eq),290.8,N deg,2.9,N ms-1,3,N degC
2022-02-04,09:00:00,20.4779,V ugm-3,5.778,V ugm-3 (Ref.eq),291.1,N deg,4,N ms-1,3.5,N degC
2022-02-04,10:00:00,17.76661,V ugm-3,5.33,V ugm-3 (Ref.eq),286.4,N deg,5.8,N ms-1,4.5,N degC
2022-02-04,11:00:00,12.52824,V ugm-3,4.269,V ugm-3 (Ref.eq),284.4,N deg,7.1,N ms-1,5.1,N degC
2022-02-04,12:00:00,10.86519,V ugm-3,3.679,V ugm-3 (Ref.eq),278.5,N deg,6.9,N ms-1,4.9,N degC
2022-02-04,13:00:00,7.9589,V ugm-3,4.033,V ugm-3 (Ref.eq),279.1,N deg,8,N ms-1,5.6,N degC
2022-02-04,14:00:00,9.38858,V ugm-3,2.571,V ugm-3 (Ref.eq),280.8,N deg,8,N ms-1,5.5,N degC
2022-02-04,15:00:00,8.81699,V ugm-3,3.09,V ugm-3 (Ref.eq),283.8,N deg,7.9,N ms-1,5,N degC
2022-02-04,16:00:00,12.05384,V ugm-3,4.08,V ugm-3 (Ref.eq),278.5,N deg,7.2,N ms-1,4.3,N degC
2022-02-04,17:00:00,15.47831,V ugm-3,3.066,V ugm-3 (Ref.eq),275.5,N deg,6.5,N ms-1,3.6,N degC
2022-02-04,18:00:00,13.66995,V ugm-3,4.245,V ugm-3 (Ref.eq),275.9,N deg,6.3,N ms-1,3.3,N degC
2022-02-04,19:00:00,10.5283,V ugm-3,3.373,V ugm-3 (Ref.eq),274.5,N deg,5.9,N ms-1,3.1,N degC
2022-02-04,20:00:00,14.19262,V ugm-3,3.609,V ugm-3 (Ref.eq),277.2,N deg,5.7,N ms-1,3.1,N degC
2022-02-04,21:00:00,17.95477,V ugm-3,4.906,V ugm-3 (Ref.eq),280.3,N deg,5.8,N ms-1,3.1,N degC
2022-02-04,22:00:00,14.81536,V ugm-3,4.741,V ugm-3 (Ref.eq),281.1,N deg,5.4,N ms-1,3.5,N degC
2022-02-04,23:00:00,12.91088,V ugm-3,4.835,V ugm-3 (Ref.eq),279.6,N deg,4.7,N ms-1,3.6,N degC
2022-02-04,24:00:00,9.67298,V ugm-3,4.646,V ugm-3 (Ref.eq),277.9,N deg,4.9,N ms-1,3.8,N degC
2022-02-05,01:00:00,7.11677,V ugm-3,5.165,V ugm-3 (Ref.eq),272.5,N deg,4.2,N ms-1,3.1,N degC
2022-02-05,02:00:00,11.81651,V ugm-3,5.967,V ugm-3 (Ref.eq),269.3,N deg,4.7,N ms-1,2.9,N degC
2022-02-05,03:00:00,12.48883,V ugm-3,6.604,V ugm-3 (Ref.eq),265.4,N deg,4.9,N ms-1,2.9,N degC
2022-02-05,04:00:00,12.53063,V ugm-3,8.208,V ugm-3 (Ref.eq),262.7,N deg,5,N ms-1,3,N degC
2022-02-05,05:00:00,8.33363,V ugm-3,6.58,V ugm-3 (Ref.eq),261.9,N deg,5.3,N ms-1,3,N degC
2022-02-05,06:00:00,4.28781,V ugm-3,5.094,V ugm-3 (Ref.eq),256.8,N deg,5.4,N ms-1,2.7,N degC
2022-02-05,07:00:00,6.85676,V ugm-3,4.976,V ugm-3 (Ref.eq),249.4,N deg,5.7,N ms-1,3,N degC
2022-02-05,08:00:00,10.1415,V ugm-3,5.118,V ugm-3 (Ref.eq),240,N deg,6.3,N ms-1,3.9,N degC
2022-02-05,09:00:00,10.85807,V ugm-3,5.189,V ugm-3 (Ref.eq),244.8,N deg,6.4,N ms-1,4.5,N degC
2022-02-05,10:00:00,10.24186,V ugm-3,5.024,V ugm-3 (Ref.eq),251.3,N deg,7.3,N ms-1,5.7,N degC
2022-02-05,11:00:00,9.2891,V ugm-3,4.929,V ugm-3 (Ref.eq),255.4,N deg,7.8,N ms-1,6.7,N degC
2022-02-05,12:00:00,10.48321,V ugm-3,4.505,V ugm-3 (Ref.eq),250.7,N deg,7.9,N ms-1,7.1,N degC
2022-02-05,13:00:00,5.24302,V ugm-3,3.538,V ugm-3 (Ref.eq),256.4,N deg,8.5,N ms-1,7.3,N degC
2022-02-05,14:00:00,3.6716,V ugm-3,2.335,V ugm-3 (Ref.eq),261.3,N deg,10,N ms-1,7.3,N degC
2022-02-05,15:00:00,4.19403,V ugm-3,2.594,V ugm-3 (Ref.eq),265.3,N deg,12.4,N ms-1,7.1,N degC
2022-02-05,16:00:00,5.57609,V ugm-3,2.712,V ugm-3 (Ref.eq),266.6,N deg,13.5,N ms-1,7.2,N degC
2022-02-05,17:00:00,6.14857,V ugm-3,2.901,V ugm-3 (Ref.eq),264.5,N deg,12.9,N ms-1,7.3,N degC
2022-02-05,18:00:00,5.48076,V ugm-3,2.972,V ugm-3 (Ref.eq),263.8,N deg,12.6,N ms-1,7.5,N degC
2022-02-05,19:00:00,5.29449,V ugm-3,3.42,V ugm-3 (Ref.eq),263.1,N deg,12.3,N ms-1,7.5,N degC
2022-02-05,20:00:00,6.29124,V ugm-3,3.538,V ugm-3 (Ref.eq),266.3,N deg,11.9,N ms-1,7.5,N degC
2022-02-05,21:00:00,6.00539,V ugm-3,3.302,V ugm-3 (Ref.eq),269.7,N deg,11.6,N ms-1,7.5,N degC
2022-02-05,22:00:00,4.76729,V ugm-3,2.5,V ugm-3 (Ref.eq),272.2,N deg,11.6,N ms-1,7.5,N degC
2022-02-05,23:00:00,3.24308,V ugm-3,1.981,V ugm-3 (Ref.eq),274.6,N deg,11.8,N ms-1,7.6,N degC
2022-02-05,24:00:00,2.72026,V ugm-3,1.887,V ugm-3 (Ref.eq),275.8,N deg,11.5,N ms-1,7.4,N degC
2022-02-06,01:00:00,4.38524,V ugm-3,2.005,V ugm-3 (Ref.eq),270.3,N deg,9.6,N ms-1,7.9,N degC
2022-02-06,02:00:00,5.65558,V ugm-3,1.745,V ugm-3 (Ref.eq),273.7,N deg,10.2,N ms-1,7.8,N degC
2022-02-06,03:00:00,3.81442,V ugm-3,1.557,V ugm-3 (Ref.eq),271.6,N deg,10.2,N ms-1,7.9,N degC
2022-02-06,04:00:00,3.66998,V ugm-3,1.651,V ugm-3 (Ref.eq),274,N deg,10.1,N ms-1,7.8,N degC
2022-02-06,05:00:00,2.85915,V ugm-3,0.849,V ugm-3 (Ref.eq),273.9,N deg,10,N ms-1,7.7,N degC
2022-02-06,06:00:00,2.47658,V ugm-3,0.236,V ugm-3 (Ref.eq),279.6,N deg,9.9,N ms-1,7,N degC
2022-02-06,07:00:00,2.00058,V ugm-3,0.731,V ugm-3 (Ref.eq),282.6,N deg,10.2,N ms-1,6.7,N degC
2022-02-06,08:00:00,2.57153,V ugm-3,2.17,V ugm-3 (Ref.eq),283.6,N deg,10.5,N ms-1,6.4,N degC
2022-02-06,09:00:00,3.14286,V ugm-3,2.052,V ugm-3 (Ref.eq),286.5,N deg,10.7,N ms-1,6.5,N degC
2022-02-06,10:00:00,2.57292,V ugm-3,2.476,V ugm-3 (Ref.eq),282.8,N deg,11.4,N ms-1,6.9,N degC
2022-02-06,11:00:00,3.14525,V ugm-3,2.995,V ugm-3 (Ref.eq),280.5,N deg,11.5,N ms-1,7.3,N degC
2022-02-06,12:00:00,3.33603,V ugm-3,3.231,V ugm-3 (Ref.eq),279.7,N deg,11.2,N ms-1,7.5,N degC
2022-02-06,13:00:00,4.28928,V ugm-3,3.844,V ugm-3 (Ref.eq),284.9,N deg,10.6,N ms-1,7,N degC
2022-02-06,14:00:00,4.86049,V ugm-3,4.316,V ugm-3 (Ref.eq),289.5,N deg,10.5,N ms-1,6.6,N degC
2022-02-06,15:00:00,4.38298,V ugm-3,4.528,V ugm-3 (Ref.eq),299.1,N deg,9.8,N ms-1,5.6,N degC
2022-02-06,16:00:00,3.66835,V ugm-3,3.538,V ugm-3 (Ref.eq),301.4,N deg,9,N ms-1,5.3,N degC
2022-02-06,17:00:00,5.09685,V ugm-3,4.104,V ugm-3 (Ref.eq),301.1,N deg,8.5,N ms-1,4.4,N degC
2022-02-06,18:00:00,5.763,V ugm-3,5.566,V ugm-3 (Ref.eq),307.4,N deg,8.3,N ms-1,4.2,N degC
2022-02-06,19:00:00,7.3814,V ugm-3,8.514,V ugm-3 (Ref.eq),310.7,N deg,7.9,N ms-1,3.8,N degC
2022-02-06,20:00:00,6.57157,V ugm-3,8.609,V ugm-3 (Ref.eq),324.2,N deg,7.3,N ms-1,3.5,N degC
2022-02-06,21:00:00,5.90492,V ugm-3,5.731,V ugm-3 (Ref.eq),317.6,N deg,5.7,N ms-1,2.9,N degC
2022-02-06,22:00:00,5.23801,V ugm-3,3.255,V ugm-3 (Ref.eq),312.5,N deg,5.7,N ms-1,2.6,N degC
2022-02-06,23:00:00,3.57239,V ugm-3,3.396,V ugm-3 (Ref.eq),310.1,N deg,5.5,N ms-1,2.4,N degC
2022-02-06,24:00:00,3.47619,V ugm-3,3.491,V ugm-3 (Ref.eq),304.7,N deg,5.6,N ms-1,2.1,N degC
2022-02-07,01:00:00,2.41307,V ugm-3,3.491,V ugm-3 (Ref.eq),305.2,N deg,5.1,N ms-1,2.4,N degC
2022-02-07,02:00:00,7.29975,V ugm-3,4.057,V ugm-3 (Ref.eq),309.2,N deg,5.9,N ms-1,2.3,N degC
2022-02-07,03:00:00,5.57062,V ugm-3,4.434,V ugm-3 (Ref.eq),307.2,N deg,5.7,N ms-1,2.3,N degC
2022-02-07,04:00:00,4.66621,V ugm-3,4.599,V ugm-3 (Ref.eq),312.5,N deg,5.1,N ms-1,2.2,N degC
2022-02-07,05:00:00,3.95159,V ugm-3,4.623,V ugm-3 (Ref.eq),298.2,N deg,3.5,N ms-1,1.8,N degC
2022-02-07,06:00:00,6.37959,V ugm-3,5.401,V ugm-3 (Ref.eq),275.7,N deg,2.8,N ms-1,1.1,N degC
2022-02-07,07:00:00,21.04402,V ugm-3,5.991,V ugm-3 (Ref.eq),269.6,N deg,2.7,N ms-1,0.7,N degC
2022-02-07,08:00:00,57.70327,V ugm-3,6.415,V ugm-3 (Ref.eq),248.5,N deg,2.7,N ms-1,0.2,N degC
2022-02-07,09:00:00,31.44439,V ugm-3,8.892,V ugm-3 (Ref.eq),231.8,N deg,2.6,N ms-1,1.1,N degC
2022-02-07,10:00:00,21.73276,V ugm-3,11.84,V ugm-3 (Ref.eq),244.1,N deg,3.5,N ms-1,3.6,N degC
2022-02-07,11:00:00,21.92402,V ugm-3,8.019,V ugm-3 (Ref.eq),249.7,N deg,4.2,N ms-1,5.9,N degC
2022-02-07,12:00:00,17.25769,V ugm-3,7.193,V ugm-3 (Ref.eq),249.5,N deg,4.9,N ms-1,7.3,N degC
2022-02-07,13:00:00,14.48593,V ugm-3,7.406,V ugm-3 (Ref.eq),254.1,N deg,5.6,N ms-1,8.3,N degC
2022-02-07,14:00:00,11.00802,V ugm-3,2.618,V ugm-3 (Ref.eq),252.6,N deg,7.1,N ms-1,8.1,N degC
2022-02-07,15:00:00,8.86599,V ugm-3,3.726,V ugm-3 (Ref.eq),250.4,N deg,7.5,N ms-1,7.7,N degC
2022-02-07,16:00:00,8.72196,V ugm-3,3.255,V ugm-3 (Ref.eq),251.9,N deg,6,N ms-1,7.8,N degC
2022-02-07,17:00:00,15.1981,V ugm-3,2.264,V ugm-3 (Ref.eq),242.7,N deg,4.9,N ms-1,8.6,N degC
2022-02-07,18:00:00,36.546,V ugm-3,4.245,V ugm-3 (Ref.eq),251.8,N deg,5.2,N ms-1,9,N degC
2022-02-07,19:00:00,37.16358,V ugm-3,5.283,V ugm-3 (Ref.eq),254.5,N deg,5.1,N ms-1,9,N degC
2022-02-07,20:00:00,10.04962,V ugm-3,3.019,V ugm-3 (Ref.eq),256.9,N deg,5.5,N ms-1,8.8,N degC
2022-02-07,21:00:00,17.48133,V ugm-3,4.788,V ugm-3 (Ref.eq),256.1,N deg,5.5,N ms-1,8.8,N degC
2022-02-07,22:00:00,13.53576,V ugm-3,4.08,V ugm-3 (Ref.eq),256.3,N deg,5.6,N ms-1,8.7,N degC
2022-02-07,23:00:00,13.05104,V ugm-3,4.198,V ugm-3 (Ref.eq),252.7,N deg,5.9,N ms-1,8.8,N degC
2022-02-07,24:00:00,8.25491,V ugm-3,4.859,V ugm-3 (Ref.eq),251.4,N deg,6.2,N ms-1,8.8,N degC
2022-02-08,01:00:00,5.46338,V ugm-3,4.811,V ugm-3 (Ref.eq),246.1,N deg,6.5,N ms-1,8,N degC
2022-02-08,02:00:00,5.01846,V ugm-3,4.363,V ugm-3 (Ref.eq),246.9,N deg,6.5,N ms-1,8,N degC
2022-02-08,03:00:00,3.19204,V ugm-3,4.057,V ugm-3 (Ref.eq),255.8,N deg,6.7,N ms-1,8.1,N degC
2022-02-08,04:00:00,3.00079,V ugm-3,3.538,V ugm-3 (Ref.eq),262.1,N deg,7,N ms-1,8.3,N degC
2022-02-08,05:00:00,2.80991,V ugm-3,3.632,V ugm-3 (Ref.eq),267.3,N deg,7.2,N ms-1,8.6,N degC
2022-02-08,06:00:00,3.38136,V ugm-3,3.514,V ugm-3 (Ref.eq),270.9,N deg,7.3,N ms-1,9.3,N degC
2022-02-08,07:00:00,4.42943,V ugm-3,2.288,V ugm-3 (Ref.eq),268,N deg,6.3,N ms-1,9.4,N degC
2022-02-08,08:00:00,7.09737,V ugm-3,2.264,V ugm-3 (Ref.eq),262.2,N deg,5.3,N ms-1,9.4,N degC
2022-02-08,09:00:00,11.44272,V ugm-3,3.066,V ugm-3 (Ref.eq),259.9,N deg,4.6,N ms-1,9.3,N degC
2022-02-08,10:00:00,10.05523,V ugm-3,3.75,V ugm-3 (Ref.eq),254.8,N deg,4.6,N ms-1,9.3,N degC
2022-02-08,11:00:00,9.90776,V ugm-3,2.335,V ugm-3 (Ref.eq),256.8,N deg,5.1,N ms-1,9.3,N degC
2022-02-08,12:00:00,10.16478,V ugm-3,1.203,V ugm-3 (Ref.eq),255.8,N deg,4.8,N ms-1,9.5,N degC
2022-02-08,13:00:00,6.48824,V ugm-3,1.226,V ugm-3 (Ref.eq),257.7,N deg,4.9,N ms-1,9.7,N degC
2022-02-08,14:00:00,8.67072,V ugm-3,1.604,V ugm-3 (Ref.eq),258.3,N deg,5.1,N ms-1,9.8,N degC
2022-02-08,15:00:00,9.00453,V ugm-3,1.627,V ugm-3 (Ref.eq),258,N deg,5.1,N ms-1,9.9,N degC
2022-02-08,16:00:00,11.62451,V ugm-3,2.241,V ugm-3 (Ref.eq),252.4,N deg,4.5,N ms-1,9.2,N degC
2022-02-08,17:00:00,11.96693,V ugm-3,2.476,V ugm-3 (Ref.eq),245.8,N deg,4.7,N ms-1,8.4,N degC
2022-02-08,18:00:00,12.34822,V ugm-3,2.524,V ugm-3 (Ref.eq),249.6,N deg,5.1,N ms-1,8.8,N degC
2022-02-08,19:00:00,9.86363,V ugm-3,2.571,V ugm-3 (Ref.eq),250,N deg,5.8,N ms-1,8.7,N degC
2022-02-08,20:00:00,8.28931,V ugm-3,2.193,V ugm-3 (Ref.eq),249.3,N deg,6.3,N ms-1,8.5,N degC
2022-02-08,21:00:00,6.718,V ugm-3,2.123,V ugm-3 (Ref.eq),248.4,N deg,6.4,N ms-1,8.5,N degC
2022-02-08,22:00:00,3.95485,V ugm-3,2.241,V ugm-3 (Ref.eq),246.5,N deg,6.9,N ms-1,8.3,N degC
2022-02-08,23:00:00,3.28903,V ugm-3,2.075,V ugm-3 (Ref.eq),248.2,N deg,7.6,N ms-1,8.3,N degC
2022-02-08,24:00:00,2.28785,V ugm-3,1.816,V ugm-3 (Ref.eq),251,N deg,8.2,N ms-1,8.3,N degC
2022-02-09,01:00:00,1.58937,V ugm-3,1.557,V ugm-3 (Ref.eq),253.1,N deg,6.9,N ms-1,9.3,N degC
2022-02-09,02:00:00,3.4936,V ugm-3,1.604,V ugm-3 (Ref.eq),256.9,N deg,6.7,N ms-1,9.2,N degC
2022-02-09,03:00:00,1.95342,V ugm-3,1.439,V ugm-3 (Ref.eq),265.3,N deg,5.3,N ms-1,8.7,N degC
2022-02-09,04:00:00,1.90641,V ugm-3,1.085,V ugm-3 (Ref.eq),288.7,N deg,4.7,N ms-1,8,N degC
